,user_id,metric,day
4768,4768,5210.0505,8
1928,1928,1617.5348,8
2995,2995,6742.954000000001,5
15885,5885,8998.112105016247,15
6121,6121,2281.2062,1
7677,7677,8589.2783,7
3539,3539,3959.0621,9
6452,6452,1445.8715,2
14871,4871,5044.515491405058,11
4924,4924,3930.7368,4
12586,2586,8138.324244670526,16
3422,3422,7690.1848,2
9402,9402,3539.8899,2
4261,4261,3807.4858,1
15705,5705,5900.276961749861,15
18023,8023,6219.960712010196,13
14981,4981,4561.2867089675265,11
7567,7567,4824.3978,7
6590,6590,2794.5374,0
18264,8264,13075.830170518091,14
2273,2273,5145.1493,3
2098,2098,3294.2397,8
16208,6208,6934.738912702,18
5845,5845,3676.7074,5
1797,1797,6618.9161,7
13648,3648,9435.627506771143,18
11342,1342,7084.566194161544,12
4096,4096,2494.3911,6
1691,1691,3796.6043,1
4148,4148,5699.6496,8
1123,1123,4747.3352,3
5561,5561,4655.9431,1
11675,1675,7436.326382391343,15
1813,1813,4148.8626,3
14200,4200,7448.615837595075,10
19131,9131,6502.545836861134,11
12839,2839,5620.837513315692,19
13588,3588,6858.982015162583,18
12597,2597,5389.322524684415,17
10775,775,5458.054232465388,15
18222,8222,7982.60835616338,12
5380,5380,1880.2249,0
7374,7374,3800.7582,4
16754,6754,8538.928708947591,14
15855,5855,10045.799495888199,15
16173,6173,13210.310298545759,13
10457,457,4698.7791672126705,17
1323,1323,2261.3808,3
12628,2628,5829.414956386676,18
12100,2100,6271.3621635416175,10
16082,6082,9050.53875187474,12
15680,5680,5122.276849171483,10
4925,4925,4507.4017,5
13722,3722,8932.420959927758,12
2946,2946,6251.0439,6
15101,5101,9407.465648353133,11
9253,9253,1094.8832,3
11888,1888,9055.887790815097,18
4027,4027,3500.4082,7
2843,2843,2543.4848,3
3652,3652,1271.9260000000002,2
11511,1511,7944.790727281629,11
1876,1876,3834.3424,6
2282,2282,1300.0537,2
10249,249,6194.081744365093,19
10748,748,8671.531293196462,18
10654,654,8053.86420085674,14
8207,8207,4933.3018,7
19016,9016,7506.1522740308765,16
15882,5882,4923.983218552458,12
15943,5943,11831.351713134323,13
4429,4429,2056.8954,9
5622,5622,1263.2753,2
6376,6376,6980.4612,6
9361,9361,6802.2869,1
14958,4958,10112.51351465351,18
10884,884,6074.950907367269,14
18888,8888,6427.647049485657,18
3452,3452,6648.5054,2
18282,8282,3796.5281101514747,12
16645,6645,9078.660840001849,15
17898,7898,6307.108123022757,18
13109,3109,10121.911144209109,19
13842,3842,7107.903829559866,12
209,209,2281.0691,9
14001,4001,3904.298998035575,11
5904,5904,4105.0365,4
3413,3413,8095.6641,3
1572,1572,1300.4714,2
17959,7959,8487.4370545969,19
9518,9518,2418.7244,8
3166,3166,2568.6992,6
3137,3137,2356.3985,7
7860,7860,1341.2218,0
15238,5238,7599.242604338146,18
13294,3294,5153.918623797085,14
7021,7021,1943.8352,1
5555,5555,3592.5661,5
5266,5266,2618.8701,6
14854,4854,7378.438734882142,14
9919,9919,5690.8284,9
14294,4294,6286.039817326896,14
2437,2437,6680.2529,7
15038,5038,6909.829804603133,18
15870,5870,6388.41066372677,10
18056,8056,8360.375328335267,16
16626,6626,6167.825813219051,16
4652,4652,3614.5786,2
17437,7437,10561.541312739715,17
9977,9977,8424.7329,7
17230,7230,5992.127100241302,10
8737,8737,1822.2565,7
19743,9743,7135.620390914501,13
1751,1751,2671.0798,1
5552,5552,2147.5115,2
13617,3617,9713.106616422552,17
18237,8237,5603.46445944835,17
8056,8056,4055.7057,6
13709,3709,8442.099158954885,19
10432,432,7351.979148419496,12
3576,3576,3693.8458,6
992,992,6446.9004,2
15084,5084,9611.44826149422,14
14138,4138,8794.101752276569,18
11979,1979,4224.895083977082,19
10228,228,4201.062083548203,18
3458,3458,5223.9008,8
12611,2611,7697.856563239187,11
10113,113,4191.774998014998,13
9240,9240,4851.7981,0
1076,1076,3099.4736,6
3926,3926,4170.7511,6
1770,1770,3399.83,0
10504,504,5994.332472298101,14
13508,3508,6678.576617873944,18
18152,8152,6379.469135355835,12
13259,3259,7753.2105524568815,19
11706,1706,11585.764786381931,16
19270,9270,6802.900496828749,10
8992,8992,5002.6003,2
15181,5181,8061.897745265349,11
11073,1073,3778.5280968696975,13
14279,4279,7317.533032711191,19
6620,6620,2974.3942,0
8853,8853,3281.5759,3
1357,1357,6774.3373,7
6324,6324,9566.2575,4
1075,1075,5416.5046,5
7395,7395,4738.3062,5
7879,7879,2278.8739,9
7019,7019,1014.7261,9
19080,9080,5829.468802083391,10
18799,8799,5447.719258381556,19
18036,8036,5812.4034640730115,16
10946,946,6410.40875792862,16
2156,2156,3616.1939,6
14954,4954,12609.290204456829,14
307,307,2687.7619,7
17982,7982,7425.347862069414,12
6163,6163,5183.1599,3
12411,2411,7385.7789203898965,11
18769,8769,9189.216279041053,19
4764,4764,1934.6632,4
13620,3620,12924.386437757837,10
7676,7676,2878.8329,6
5245,5245,4806.2983,5
9012,9012,3266.2052,2
16129,6129,6069.108790651237,19
18437,8437,7421.2911749136265,17
1325,1325,4565.1669,5
8145,8145,4443.829000000001,5
13355,3355,7233.0172891816765,15
1156,1156,2014.8489,6
4521,4521,3073.0159,1
1018,1018,3289.2072,8
8028,8028,5525.2656,8
8198,8198,1483.7596,8
9174,9174,4090.4874,4
16194,6194,8299.037360039332,14
11164,1164,4816.578274375973,14
1220,1220,2665.6302,0
10688,688,7691.765794618708,18
1342,1342,3957.8817,2
10198,198,7325.5714768859225,18
8571,8571,5088.2288,1
13397,3397,4641.915296451525,17
4659,4659,3308.7477,9
8230,8230,1835.1028,0
6045,6045,2820.4824,5
11554,1554,5329.334881909108,14
14531,4531,8387.659069517786,11
9647,9647,2615.9123,7
17663,7663,11017.909664079016,13
8963,8963,4876.4262,3
17159,7159,6673.610841513966,19
9787,9787,1425.1897,7
7017,7017,4564.4223,7
11775,1775,5070.115968113143,15
6368,6368,1941.1706,8
9420,9420,7221.0992,0
7116,7116,8581.9974,6
2735,2735,3871.3319,5
7354,7354,3177.0231,4
11203,1203,5572.689097183522,13
12225,2225,7471.64043002141,15
670,670,1259.4411,0
9843,9843,1761.8798,3
1501,1501,4636.0134,1
7783,7783,2739.9324,3
11626,1626,8502.538123763716,16
7964,7964,2532.0994,4
10473,473,7005.063399677398,13
12573,2573,11722.427150202551,13
12680,2680,9041.940731556513,10
1772,1772,5258.3713,2
1008,1008,6186.745,8
3185,3185,4265.4063,5
4862,4862,8717.1016,2
17170,7170,9514.207411251024,10
9988,9988,1151.1898,8
11843,1843,5392.995240799553,13
6541,6541,2251.2068,1
12842,2842,7777.540370289665,12
11713,1713,5270.995660928784,13
4014,4014,4503.0422,4
18704,8704,14308.140629699796,14
3434,3434,1322.8362,4
5139,5139,3256.1809,9
16484,6484,9025.278667516659,14
11828,1828,6947.1823933250325,18
12344,2344,7887.968149105445,14
15023,5023,6937.118055663064,13
13796,3796,7293.616670729956,16
16669,6669,13336.928142734829,19
13599,3599,7017.582570257658,19
14878,4878,8074.411278814106,18
10070,70,8502.51551864855,10
1027,1027,4781.7974,7
5965,5965,9907.2787,5
1393,1393,4732.5303,3
12849,2849,6037.994969283573,19
