,user_id,user_age,user_sex
0,1515915625519388267,41,f
1,1515915625519380411,84,m
2,1515915625513238515,41,m
3,1515915625519014356,25,m
4,1515915625510743344,42,m
5,1515915625519388062,71,f
6,1515915625519388877,81,m
7,1515915625519388882,53,f
8,1515915625519320570,23,m
9,1515915625519388929,77,f
10,1515915625356205647,55,f
12,1515915625519388117,30,m
13,1515915625519389483,64,m
14,1515915625519385419,64,f
15,1515915625519389538,71,m
16,1515915625519389572,62,m
17,1515915625519334445,81,m
18,1515915625519389712,31,f
19,1515915625519389726,82,m
20,1515915625519389101,58,m
21,1515915625519387465,21,m
22,1515915625519389873,26,m
24,1515915625507214919,26,m
26,1515915625519388953,65,m
27,1515915625519389935,32,f
29,1515915625519389998,51,m
30,1515915625519356010,26,f
31,1515915625519388006,44,f
33,1515915625519390366,50,f
34,1515915625519390468,38,f
35,1515915625519382571,68,m
36,1515915625519389855,43,f
38,1515915625519384255,47,m
39,1515915625507410730,58,f
40,1515915625470774320,33,f
41,1515915625519390638,27,f
43,1515915625508483528,83,f
44,1515915625519391008,25,m
46,1515915625519391247,48,m
48,1515915625400993933,27,f
50,1515915625519390362,61,m
52,1515915625512189330,51,m
53,1515915625519341967,46,f
54,1515915625519386397,38,m
57,1515915625519392459,26,f
58,1515915625519392600,72,m
61,1515915625519392741,84,f
62,1515915625356203891,24,m
63,1515915625519393259,28,f
64,1515915625517820138,55,f
65,1515915625519393511,31,f
66,1515915625519255547,66,f
67,1515915625361439171,30,m
68,1515915625519393172,62,m
69,1515915625519393739,59,f
70,1515915625513574486,28,m
72,1515915625519393447,54,f
73,1515915625519392873,53,f
74,1515915625517639190,81,f
77,1515915625519394709,38,f
78,1515915625519394750,79,m
79,1515915625519394782,82,f
80,1515915625519392599,68,m
84,1515915625519395164,55,m
85,1515915625518130982,54,f
86,1515915625477830657,47,f
87,1515915625519395536,35,m
88,1515915625517759569,76,f
89,1515915625519378652,44,m
91,1515915625518854597,44,m
92,1515915625519395757,61,f
93,1515915625519396026,70,f
95,1515915625519396211,25,m
96,1515915625481243042,81,m
98,1515915625519396513,66,f
99,1515915625519396525,83,f
101,1515915625519396912,34,f
105,1515915625519397121,70,f
106,1515915625519396521,19,f
107,1515915625519397357,68,m
108,1515915625519397392,78,f
109,1515915625519397451,43,m
110,1515915625519397521,21,m
112,1515915625519397770,42,f
115,1515915625519398031,27,f
116,1515915625518816019,23,f
117,1515915625512513370,69,f
118,1515915625519398313,40,m
121,1515915625508706879,45,m
123,1515915625519398625,42,m
124,1515915625499033346,23,f
125,1515915625519398646,26,m
128,1515915625499582651,78,f
129,1515915625369253995,52,f
131,1515915625510965182,83,f
133,1515915625519397410,47,m
134,1515915625518952357,44,m
137,1515915625455742770,62,f
138,1515915625519399474,44,f
139,1515915625519399623,53,m
141,1515915625519364956,79,f
143,1515915625519399620,25,f
144,1515915625469154910,20,m
145,1515915625519387184,83,f
146,1515915625519400385,69,f
147,1515915625519400393,60,m
148,1515915625519399850,49,m
149,1515915625517098009,59,m
154,1515915625519400699,78,m
156,1515915625519401172,56,f
158,1515915625519401281,54,m
159,1515915625519397018,80,f
160,1515915625519401420,57,f
161,1515915625519401685,61,f
162,1515915625519401790,75,f
164,1515915625519401724,66,f
165,1515915625506250144,55,m
166,1515915625519402422,43,m
168,1515915625387787258,42,m
169,1515915625518960875,62,f
171,1515915625519402340,72,m
172,1515915625519402694,62,m
173,1515915625519402061,25,f
174,1515915625519402937,22,f
175,1515915625519403099,25,m
177,1515915625519401086,68,m
178,1515915625519403384,81,m
179,1515915625519403527,46,f
182,1515915625504921591,84,m
183,1515915625519401159,53,m
185,1515915625519403923,77,m
186,1515915625519404146,33,f
188,1515915625519403334,26,f
189,1515915625519404463,19,m
191,1515915625519404320,33,m
192,1515915625519404721,59,m
196,1515915625519404962,73,m
197,1515915625519404866,76,f
198,1515915625519404934,68,f
200,1515915625519405727,47,m
201,1515915625470995608,24,m
204,1515915625519405941,84,f
205,1515915625519405956,39,f
206,1515915625358841505,41,f
207,1515915625519406411,57,m
209,1515915625519406697,60,f
210,1515915625519406764,82,m
211,1515915625519406935,70,m
212,1515915625519406565,46,m
213,1515915625519344933,68,f
214,1515915625519407136,19,m
215,1515915625513574581,83,m
216,1515915625499383444,73,m
219,1515915625519407618,44,f
221,1515915625519407662,37,m
224,1515915625519407713,83,m
226,1515915625519407915,49,f
227,1515915625495730219,76,f
229,1515915625519408012,69,f
231,1515915625519408052,37,m
232,1515915625519258287,32,f
240,1515915625519408623,34,f
241,1515915625519408235,52,f
243,1515915625519408777,52,m
245,1515915625519408919,44,m
246,1515915625423858244,77,m
247,1515915625519409005,83,m
